,id,total_sold,avg_sold_price,max_sold_price,types,rarity,skin,traits,total_traits,marcador
9164,9164,3.0,12.863333333333335,13.0,Female,9704,Albino,"Earring,Messy Hair,Purple Lipstick",3,1
9167,9167,2.0,7.95,8.4,Female,1227,Dark,"Black Lipstick,Purple Eye Shadow,Wild White Hair",3,1
9168,9168,2.0,37.75,40.0,Male,4290,Dark,"Knitted Cap,Muttonchops,Smile,VR",4,1
9170,9170,1.0,10.0,10.0,Male,1409,Mid,"Cowboy Hat,Normal Beard,Regular Shades",3,1
9171,9171,4.0,20.3875,28.5,Male,5994,Mid,"Cap,Front Beard,Nerd Glasses",3,1
9174,9174,6.0,7.303333333333334,22.88,Male,5160,Albino,"Front Beard Dark,Stringy Hair",2,1
9175,9175,1.0,0.35,0.35,Male,2505,Dark,"Clown Hair Green,Goat,Vape",3,1
9176,9176,1.0,18.5,18.5,Male,5095,Mid,"Crazy Hair,Front Beard Dark",2,1
9177,9177,1.0,18.0,18.0,Female,1952,Mid,"Half Shaved,Hot Lipstick,Purple Eye Shadow",3,1
9178,9178,1.0,10.5,10.5,Male,4424,Mid,"Cigarette,Earring,Front Beard,Nerd Glasses",4,1
9179,9179,1.0,4.99,4.99,Male,6846,Mid,"Cigarette,Mohawk,Normal Beard Black",3,1
9180,9180,1.0,0.1,0.1,Male,6551,Mid,"Bandana,Big Shades,Earring,Luxurious Beard",4,1
9181,9181,1.0,0.5,0.5,Female,8177,Mid,"Big Shades,Black Lipstick,Cap",3,1
9182,9182,2.0,8.295,15.49,Female,9925,Mid,"Bandana,Earring,Horned Rim Glasses",3,1
9183,9183,1.0,1.8,1.8,Female,2200,Dark,"Black Lipstick,Clown Eyes Blue,Red Mohawk",3,1
9185,9185,1.0,0.19,0.19,Male,3186,Albino,"Normal Beard,Purple Hair",2,1
9187,9187,3.0,7.796666666666667,13.5,Male,7318,Light,"Earring,Goat,Mohawk Thin",3,1
9188,9188,2.0,41.295,44.99,Female,1331,Light,"Cigarette,Earring,Hot Lipstick,Wild White Hair",4,1
9189,9189,4.0,13.9375,22.0,Male,3785,Dark,"Earring,Fedora,Front Beard",3,1
9190,9190,2.0,20.744999999999997,21.49,Male,4546,Albino,"Earring,Small Shades",2,1
9192,9192,4.0,5.475,12.65,Male,4294,Dark,"Mohawk,Muttonchops,Smile",3,1
9193,9193,3.0,11.996666666666668,32.99,Female,1277,Light,"Cigarette,Clown Eyes Green,Wild White Hair",3,1
9194,9194,2.0,17.0,20.5,Female,3733,Albino,"Hot Lipstick,Tassle Hat",2,1
9195,9195,1.0,0.1,0.1,Female,1180,Albino,"Blonde Short,Nerd Glasses",2,1
9198,9198,1.0,40.0,40.0,Male,6562,Dark,"3D Glasses,Bandana",2,1
9200,9200,3.0,19.486666666666668,19.98,Female,7145,Light,"Eye Mask,Mohawk Dark",2,1
9203,9203,3.0,5.33,9.99,Zombie,492,Zombie,"Cap Forward,Clown Nose,Goat,Mole",4,1
9204,9204,6.0,6.965,22.88,Male,8445,Light,"Cigarette,Clown Eyes Green,Stringy Hair",3,1
9205,9205,4.0,10.312500000000002,36.82,Female,2625,Mid,"Big Shades,Earring,Mole,Straight Hair Dark",4,1
9206,9206,2.0,24.25,26.5,Male,5502,Light,"Eye Patch,Handlebars,Headband,Pipe",4,1
9207,9207,1.0,0.25,0.25,Male,4818,Dark,"Hoodie,Nerd Glasses,Shadow Beard,Vape",4,1
9210,9210,4.0,22.625,28.5,Male,6836,Light,"Earring,Eye Patch,Mohawk Thin,Normal Beard Black",4,1
9211,9211,3.0,26.133333333333336,35.0,Female,1885,Dark,"Black Lipstick,Clown Eyes Blue,Half Shaved,Silver Chain",4,1
9213,9213,1.0,0.3,0.3,Female,3031,Dark,"Clown Eyes Green,Dark Hair,Earring,Hot Lipstick",4,1
9214,9214,2.0,50.995000000000005,57.0,Male,811,Light,"Eye Mask,Top Hat",2,1
